round, demand, supply, price
1, 52.0, 47.5, 1.45
2, 32.44827586206897, 32.758620689655174, 1.4189655172413793
3, 33.63117198718656, 33.475091130012146, 1.434573602958821
4, 33.057481458271376, 33.11088389053781, 1.4292333597321778
5, 33.2561962934736, 33.234600687532904, 1.4313929203262474
6, 33.176241061527406, 33.18445922533532, 1.4305711039454563
7, 33.20672607016287, 33.20352261344924, 1.4308914496168197
8, 33.19485181480456, 33.196089062325505, 1.430767724864725
9, 33.19943924206599, 33.19895967354938, 1.430815681716386
10, 33.19766131159481, 33.19784693932043, 1.4307971189438238
11, 33.19834952910831, 33.1982776391549, 1.4308043079391648
12, 33.19808300051312, 33.198110836286084, 1.4308015243618686
13, 33.198186200990925, 33.198175422118595, 1.4308026022491016
14, 33.198146238673914, 33.198150412456606, 1.4308021848708323
15, 33.19816171285192, 33.19816009666502, 1.4308023464895223
16, 33.198155720888224, 33.19815634671091, 1.4308022839072536
17, 33.198158041107106, 33.19815779877453, 1.4308023081405112
18, 33.198157142666375, 33.19815723650292, 1.4308022987568565
19, 33.19815749056255, 33.19815745422696, 1.4308023023904157
20, 33.198157355849425, 33.198157369919386, 1.4308023009834197
21, 33.19815740801337, 33.19815740256517, 1.4308023015282396
22, 33.198157387814334, 33.198157389924006, 1.4308023013172724
23, 33.198157395635874, 33.19815739481896, 1.4308023013989635
24, 33.19815739260719, 33.19815739292353, 1.43080230136733
25, 33.19815739377998, 33.1981573936575, 1.4308023013795776
26, 33.1981573933259, 33.19815739337333, 1.4308023013748348
27, 33.19815739350173, 33.19815739348338, 1.4308023013766702
28, 33.198157393433675, 33.19815739344079, 1.430802301375959
29, 33.19815739346005, 33.19815739345729, 1.4308023013762348
30, 33.19815739344982, 33.19815739345089, 1.4308023013761275
31, 33.1981573934538, 33.198157393453386, 1.4308023013761688
32, 33.198157393452256, 33.19815739345242, 1.4308023013761524
33, 33.198157393452874, 33.1981573934528, 1.4308023013761595
34, 33.19815739345262, 33.19815739345264, 1.4308023013761573
35, 33.198157393452696, 33.19815739345269, 1.430802301376158
36, 33.198157393452675, 33.198157393452675, 1.430802301376158
