method, lambda, rounds, convergence
math, 0.1, 2, overshoot
math, 0.01, 2566, converge
math, 0.001, 30, converge
swapped, 0.1, 2, overshoot
swapped, 0.01, 20, converge
swapped, 0.001, 37, converge
swapped, 0.0001, 451, converge
swapped, 0.00001, 4588, converge
