round, demand, supply, price, demand-supply
1, 223.01241382399564, 221.7607358119345, 1.001251678012061, 1.2516780120611486
2, 222.60004956826475, 222.03925537310099, 1.0018124722072248, 0.5607941951637656
3, 222.41583909835612, 222.16431213965674, 1.0020639991659241, 0.25152695869937247
4, 222.3333260610323, 222.22045715105165, 1.002176868075905, 0.11286890998064791
5, 222.296321488225, 222.24566239898917, 1.0022275271651406, 0.05065908923583606
6, 222.2797170909632, 222.2569775237253, 1.0022502667323785, 0.022739567237891833
7, 222.272264690778, 222.26205704136356, 1.0022604743817929, 0.010207649414439857
8, 222.2689195339616, 222.26433729533892, 1.0022650566204157, 0.004582238622674595
9, 222.26741792100552, 222.2653609250867, 1.0022671136163346, 0.002056995918820803
10, 222.26674384471357, 222.26582044262605, 1.002268037018422, 0.0009234020875226179
11, 222.2664412478843, 222.26602672450133, 1.002268451541805, 0.0004145233829717654
12, 222.26630540978053, 222.26611932641273, 1.0022686376251728, 0.00018608336779379897
13, 222.26624443086305, 222.26616089629437, 1.0022687211597414, 8.353456868803733e-05
14, 222.26621705686728, 222.26617955741017, 1.0022687586591985, 3.74994571075149e-05
15, 222.26620476842396, 222.26618793456242, 1.0022687754930601, 1.6833861536724726e-05
16, 222.266199252026, 222.26619169514575, 1.0022687830499404, 7.5568802628822596e-06
17, 222.26619677566276, 222.2661933833075, 1.0022687864422957, 3.392355267806124e-06
18, 222.26619566399984, 222.26619414113918, 1.0022687879651564, 1.5228606571326964e-06
19, 222.26619516496365, 222.26619448133715, 1.0022687886487829, 6.836264958565152e-07
20, 222.26619494094152, 222.26619463405507, 1.0022687889556694, 3.068864486976963e-07
21, 222.26619484037624, 222.2661947026119, 1.0022687890934336, 1.3776434570900165e-07
22, 222.2661947952312, 222.2661947333875, 1.0022687891552773, 6.184370704431785e-08
